repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM10,RF,6.806591114059349,4.841514456352169,0.9566654938731042,0.8439819762637747
0,PM10,SVR,7.44526643429156,5.633186368150113,0.9515354286885063,0.8244771190360461
0,PM10,ANN,16.258968319814908,13.153336660544309,0.8500863025513089,0.6707289479351491
1,PM10,RF,6.779381449687196,4.840628491407053,0.9577340089777734,0.8453957004116759
1,PM10,SVR,7.44526643429156,5.633186368150113,0.9515354286885063,0.8244771190360461
1,PM10,ANN,13.601335470161379,9.423655525506263,0.908100311469494,0.7560135581622829
2,PM10,RF,6.755443933113796,4.802565106345634,0.9573851666356635,0.8455695809218455
2,PM10,SVR,7.44526643429156,5.633186368150113,0.9515354286885063,0.8244771190360461
2,PM10,ANN,22.9558825792656,18.8433866348257,0.7780067726507187,0.5877350244289463
3,PM10,RF,6.866365096673214,4.882632217204624,0.9566824971520606,0.8452369399458688
3,PM10,SVR,7.44526643429156,5.633186368150113,0.9515354286885063,0.8244771190360461
3,PM10,ANN,12.65503304777635,9.908799277184134,0.8678222841827743,0.6738739171625658
4,PM10,RF,6.839250376388508,4.939388334690874,0.9561984990690858,0.838803361069591
4,PM10,SVR,7.44526643429156,5.633186368150113,0.9515354286885063,0.8244771190360461
4,PM10,ANN,15.28497703514609,11.816294344012212,0.7761323925027488,0.6402696185667314
